exp,tf,study,cell,own_logfc,in_filtered_279,masked_frac,masked_sym_frac,base_rate10,base_rate10_sym,n_within_study_mates,n_same_cell_other_study_mates,in_106
DataSet_01_300,SOX17,GSE75380,HUVEC,-2.02528,True,0.11618798955613577,0.1122715404699739,0.143646408839779,0.13812154696132597,1,8,True
DataSet_01_304,ETV5,GSE75692,hADSC,-1.12304,True,0.9738903394255874,0.9751958224543081,0.08609271523178808,0.0772626931567329,0,0,False
DataSet_01_305,HOXA5,GSE75840,MCF10A,-1.5133,True,0.42950391644908614,0.26631853785900783,0.08057395143487858,0.07836644591611479,0,4,False
DataSet_01_306,NR2E1,GSE75945,PBT003,-1.10318,True,0.097911227154047,0.06919060052219321,0.08719646799116998,0.10154525386313466,0,0,False
DataSet_01_307,ARNT,GSE76090,WA09/H9,-0.15258,False,0.12140992167101827,0.18276762402088773,0.09966777408637874,0.09856035437430787,0,0,False
DataSet_01_308,SOX9,GSE76441,VCaP,-1.10787,True,0.17493472584856398,0.2989556135770235,0.10287610619469026,0.09513274336283185,0,5,False
DataSet_01_309,SOX9,GSE76452,VCaP,-1.10787,True,0.17493472584856398,0.2989556135770235,0.10287610619469026,0.09513274336283185,0,5,False
DataSet_01_310,MTF1,GSE76510,Caco-2,-0.34855,False,0.0013054830287206266,0.0013054830287206266,0.09823399558498896,0.12141280353200883,0,1,False
DataSet_01_311,BRD4,GSE78704,Ovcar8,-0.6449,False,0.0013054830287206266,0.0013054830287206266,0.10386740331491713,0.11160220994475138,0,0,False
DataSet_01_312,TFAP2C,GSE79228,NCI-H292,-1.5329,True,0.14882506527415143,0.18929503916449086,0.10852713178294573,0.08748615725359911,0,0,False
DataSet_01_314,RUNX1,GSE79598,H9,-0.21464,False,0.39947780678851175,0.6997389033942559,0.0757238307349666,0.08240534521158129,0,2,False
DataSet_01_315,ARNT,GSE80347,HSC3,-0.06857,False,0.758485639686684,0.8420365535248042,0.09966777408637874,0.09856035437430787,0,1,False
DataSet_01_316,ERG,GSE80395,HeLa,-0.02152,False,0.16318537859007834,0.1409921671018277,0.09966777408637874,0.10188261351052048,0,9,False
DataSet_01_317,ARNT,GSE80995,CTB,-0.63717,False,0.6488250652741514,0.41906005221932113,0.09966777408637874,0.09856035437430787,0,0,False
DataSet_01_318,ELK3,GSE83325,MDA-MB231,-2.82074,True,0.44386422976501305,0.556135770234987,0.08388520971302428,0.0728476821192053,0,7,False
DataSet_01_320,HNF4G,GSE85242,22RV1,-0.22266,False,0.0039164490861618795,0.018276762402088774,0.08278145695364239,0.08940397350993377,0,1,False
DataSet_01_321,FOXO1,GSE86066,RS4;11,-0.00202,False,0.8289817232375979,0.7663185378590078,0.11444444444444445,0.11,0,1,False
DataSet_01_322,FOXO1,GSE86066,018Z,0.0721,False,0.8746736292428199,0.8472584856396866,0.11444444444444445,0.11,0,0,False
DataSet_01_323,AR,GSE86547,CWR22Rv1,-0.899,False,0.19451697127937337,0.0391644908616188,0.15959821428571427,0.16964285714285715,0,1,False
DataSet_01_324,MYC,GSE87693,HCT116,-1.68378,True,0.0013054830287206266,0.0013054830287206266,0.3741648106904232,0.3741648106904232,0,6,False
DataSet_01_325,TP63,GSE88832,HaCaT,-0.44191,False,0.4386422976501306,0.643603133159269,0.14719101123595504,0.14157303370786517,0,1,False
DataSet_01_326,TP63,GSE88833,JHU-029,-0.70299,False,0.860313315926893,0.8929503916449086,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_327,TP63,GSE88833,FaDU,-2.18471,True,0.033942558746736295,0.048302872062663184,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_328,TP63,GSE88861,HaCaT,-0.44191,False,0.4386422976501306,0.643603133159269,0.14719101123595504,0.14157303370786517,0,1,False
DataSet_01_329,TP63,GSE88861,JHU-029,-0.70299,False,0.860313315926893,0.8929503916449086,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_330,TP63,GSE88861,FaDU,-2.18471,True,0.033942558746736295,0.048302872062663184,0.14719101123595504,0.14157303370786517,0,0,False
DataSet_01_331,TOX,GSE89607,CCRF-CEM,-0.77077,False,0.4425587467362924,0.4699738903394256,0.051933701657458566,0.04861878453038674,0,0,False
DataSet_01_332,TOX,GSE89607,HPB-ALL,-1.15678,True,0.37989556135770236,0.36945169712793735,0.051933701657458566,0.04861878453038674,0,0,False
DataSet_01_333,HOXC6,GSE9182,LNCaP,-2.32533,True,0.33159268929503916,0.29765013054830286,0.12693156732891833,0.15011037527593818,0,35,False
DataSet_01_334,STAT3,GSE92638,LX-2,-0.79893,False,0.12010443864229765,0.06005221932114883,0.16201117318435754,0.1441340782122905,0,0,False
DataSet_01_335,NFE2L2,GSE94393,A549,-0.76166,False,0.005221932114882507,0.007832898172323759,0.1847345132743363,0.20243362831858408,0,6,False
DataSet_01_336,GRHL3,GSE94465,NHEK,-3.45616,True,0.2010443864229765,0.2010443864229765,0.06961325966850829,0.09834254143646409,0,2,False
DataSet_01_337,REST,GSE94466,NHEK,-2.52843,True,0.0013054830287206266,0.0013054830287206266,0.24750277469478357,0.2730299667036626,0,1,False
DataSet_01_338,REST,GSE94467,NHEK,-2.7384,True,0.0013054830287206266,0.0013054830287206266,0.24750277469478357,0.2730299667036626,0,1,False
DataSet_01_339,KLF4,GSE94468,HCE,-1.46365,True,0.8746736292428199,0.8590078328981723,0.08287292817679558,0.08287292817679558,0,2,False
DataSet_01_340,KLF7,GSE94469,HCE,-1.53167,True,0.7872062663185379,0.8002610966057441,0.05303867403314917,0.04861878453038674,0,2,False
DataSet_01_341,KLF4,GSE94470,HCE,-0.63562,False,0.9634464751958225,0.9360313315926893,0.08287292817679558,0.08287292817679558,1,1,True
