exp,tf,ulm_frac,huber_frac,huber_weight_own_gene
DataSet_03_262,STAT3,0.9673629242819843,0.8981723237597912,0.030922813356023447
DataSet_03_264,STAT6,0.9060052219321149,0.8002610966057441,0.1778089923759023
DataSet_03_267,TCF7L1,0.06657963446475196,0.27154046997389036,0.044356727963431805
DataSet_03_274,TFAP2C,0.05613577023498695,0.16971279373368145,0.22540631896510363
DataSet_03_275,TFE3,0.05483028720626632,0.06657963446475196,0.22994816141485638
DataSet_03_277,TP53,0.283289817232376,0.6240208877284595,0.13429675127796628
DataSet_03_284,TWIST2,0.013054830287206266,0.13185378590078328,0.06305455298032707
DataSet_03_287,ZHX2,0.8133159268929504,0.1866840731070496,0.047040432764869286
DataSet_04_015,NKRF,0.206266318537859,0.5953002610966057,0.05154112460320296
DataSet_04_019,SMAD2,0.9543080939947781,0.8054830287206266,0.02836464592221297
DataSet_04_020,SMAD4,0.3381201044386423,0.05352480417754569,0.022042030195476875
DataSet_04_022,STAT1,0.8159268929503917,0.4556135770234987,0.07217882981970956
DataSet_04_024,YBX1,0.37989556135770236,0.4360313315926893,0.0484789231872931
DataSet_04_036,SMAD2,0.587467362924282,0.47911227154047,0.03676265220205411
DataSet_04_037,SMAD4,0.13968668407310705,0.283289817232376,0.05704641511026922
DataSet_04_041,YBX1,0.028720626631853787,0.018276762402088774,0.033240279524501856
