exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_03_214,PPARG,0.0,False,none,342,-1,0.02349869451697128,0.02349869451697128,0.0195822454308094
DataSet_03_217,PRRX1,0.0,False,none,6,-1,0.7036553524804178,0.7036553524804178,0.7036553524804178
DataSet_03_222,RELA,1.0,True,+1,540,-1,0.013054830287206266,0.016971279373368148,0.015665796344647518
DataSet_03_223,RELA,1.0,True,+1,540,-1,0.006527415143603133,0.006527415143603133,0.006527415143603133
DataSet_03_225,RELB,1.0,True,+1,56,-1,0.1370757180156658,0.22845953002610966,0.22845953002610966
DataSet_03_228,REST,0.0,False,none,73,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_03_229,SATB1,1.0,True,+1,45,-1,0.0026109660574412533,0.005221932114882507,0.005221932114882507
DataSet_03_235,SMARCA4,0.0,False,none,10,-1,0.9503916449086162,0.9503916449086162,0.9503916449086162
DataSet_03_236,SMARCC1,1.0,True,+1,9,-1,0.007832898172323759,0.7036553524804178,0.6932114882506527
DataSet_03_237,SOX11,0.0,False,none,11,-1,0.20496083550913838,0.20496083550913838,0.20496083550913838
